"Time","Temperature [AmbientT(Therm3T)]","Temperature [Temperature]","Heat flow [Signal]","Heat [Signal]","Normalized heat flow [Signal]","Normalized heat [Signal]","Time markers"
11833.908756494522,24.125004248102293,19.999689697747005,0.13973056513141352,233.10764867936942,0.03493264128285338,58.276912169842355,""
11837.158756494522,24.128582425511404,19.9996711054007,0.1391836861457871,233.56088433769486,0.034795921536446776,58.390221084423715,""
11838.170475244522,24.12969630525775,19.99966531763905,0.1390121853549563,233.70144183147642,0.034753046338739074,58.425360457869104,""
11840.158756494522,24.131885358504434,19.999687071251017,0.13867514326023472,233.9776725818039,0.03466878581505868,58.49441814545097,""
11843.783756494522,24.135876402537676,19.99972673206026,0.13805572461810964,234.47924727983337,0.03451393115452741,58.61981181995834,""
11846.408756494522,24.138766468906574,19.99975545195661,0.13760302025107532,234.84104938247418,0.03440075506276883,58.710262345618546,""
11850.283756494522,24.143032757355904,19.999797847994078,0.13693071270187684,235.37295849007052,0.03423267817546921,58.84323962251763,""
11854.158756494522,24.14729904580523,19.999840244031546,0.13625084455199557,235.90224775724988,0.03406271113799889,58.97556193931247,""
11855.533756494522,24.144367061462326,19.99982951533526,0.13600843054982031,236.08925934925588,0.03400210763745508,59.02231483731397,""
11856.908756494522,24.135456714721688,19.999817559379377,0.13576601654764509,236.27627094126188,0.03394150413691127,59.06906773531547,""
11862.346256494522,24.10022034352007,19.9997702790084,0.13479958806034598,237.01187117878985,0.033699897015086494,59.25296779469746,""
11867.408756494522,24.06741406688409,19.999726259352656,0.13388881726097812,237.69198870475944,0.03347220431524453,59.42299717618986,""
11871.658756494522,24.0398729951403,19.999689304579935,0.133117032185265,238.2593761348327,0.03327925804631625,59.56484403370818,""
11875.748600244522,24.013369776283916,19.999653742404348,0.13236838207868987,238.8021195341944,0.03309209551967247,59.7005298835486,""
11877.998600244522,23.998789208890145,19.99967029115251,0.1319548325535027,239.09944068886904,0.03298870813837568,59.77486017221726,""
11879.498600244522,23.98906883062763,19.999681323651277,0.13167844532165546,239.2972273493976,0.032919611330413864,59.8243068373494,""
11883.783756494522,23.961299937518312,19.999712840971988,0.13088460690233525,239.85992409203857,0.03272115172558381,59.96498102300964,""
11887.908756494522,23.934568897296398,19.99974318034361,0.13011393881958686,240.39823359259003,0.032528484704896714,60.09955839814751,""
11891.158756494522,23.91350807772762,19.999767084090948,0.12950304491005676,240.82011119115072,0.03237576122751419,60.20502779778768,""
11894.158756494522,23.89406732120259,19.999789149088492,0.12893870289985515,241.20777381286558,0.03223467572496379,60.301943453216396,""
11897.315006494522,23.87361402527522,19.99981236330466,0.128341953390893,241.61346850118673,0.03208548834772325,60.40336712529668,""
11899.440006494522,23.889261949470697,19.99982799267792,0.12793892507741264,241.88585174276628,0.03198473126935316,60.47146293569157,""
11901.326725244522,23.903155235107487,19.99984186949278,0.12757990618424186,242.12697846673524,0.031894976546060466,60.53174461668381,""
11903.076725244522,23.916041760915526,19.999831590207915,0.12724573653902593,242.3498104332732,0.03181143413475648,60.5874526083183,""
11905.783756494522,23.935975605524835,19.99981568943913,0.1267279185839037,242.69387014141535,0.031681979645975925,60.673467535353836,""
11909.908756494522,23.96635098778664,19.999791459696226,0.1259356453516543,243.21498874203243,0.031483911337913575,60.80374718550811,""
11912.408756494522,23.984760310369552,19.99977677500356,0.1254528315981496,243.5292243382197,0.0313632078995374,60.882306084554926,""
11916.158756494522,24.01237429424392,19.99975474796456,0.1247289786868821,243.99831523250413,0.031182244671720524,60.99957880812603,""
11919.408756494522,24.036306413601707,19.99973565786409,0.12409687211931697,244.4026572400642,0.031024218029829242,61.10066431001605,""
11922.158756494522,24.05655666844291,19.999719504702153,0.12356256054335926,244.74318895997538,0.030890640135839816,61.185797239993846,""
11923.971256494522,24.06990342731552,19.999708858299968,0.12320846844323086,244.96661496281,0.030802117110807714,61.2416537407025,""
11925.471256494522,24.07317103104083,19.999700047484367,0.12291519276624503,245.151249557975,0.030728798191561258,61.28781238949375,""
11930.658756494522,24.0844714939242,19.99966957674708,0.12189787336898712,245.78623344826323,0.03047446834224678,61.44655836206581,""
11933.565006494522,24.090802476141995,19.999685941624012,0.12132642588505765,246.13917590698622,0.030331606471264413,61.534793976746556,""
11936.158756494522,24.096452707583676,19.999700546836763,0.1208162627021678,246.45386632412558,0.03020406567554195,61.613466581031396,""
11941.033756494522,24.107072419690944,19.99972799759807,0.1198541950637824,247.0405005649301,0.0299635487659456,61.76012514123253,""
11944.908756494522,24.115513729314664,19.99974981743398,0.11908723130605918,247.50344957852167,0.029771807826514795,61.87586239463042,""
11948.971256494522,24.12436348940405,19.9997726930684,0.11827860059540968,247.98559892457152,0.02956965014885242,61.99639973114288,""
11955.471256494522,24.13852310554707,19.999809294083484,0.11698708926219033,248.75021241660872,0.029246772315547582,62.18755310415218,""
11959.377506494522,24.142917529807285,19.99983128988581,0.11620677305575,249.20414512385776,0.0290516932639375,62.30103628096444,""
11963.283756494522,24.134422945743673,19.99985328568814,0.11542645684930969,249.65807783110677,0.028856614212327422,62.41451945777669,""
11968.908756494522,24.122190744692066,19.9998849596435,0.11429944552692332,250.3041819315399,0.02857486138173083,62.57604548288497,""
